"original_park","matched_park","similarity"
"dugan playground","grand playground",0.913888888888889
"dunningham triangle","dunningham triangle",1
"dyker beach park","dyker beach park",1
"east 71st street between avenue v and avenue w",NA,NA
"east river esplanade","east river esplanade",1
"east river park","east river walk",0.911111111111111
"edenwald playground","edenwald playground",1
"ehrenreich-austin playground","ehrenreich-austin playground",1
"eibs pond park","eibs pond park",1
"elmhurst park","elmhurst park",1
"emerald playground","emerald playground",1
"emt yadira arroyo playground","fdny-emt yadira arroyo playground",0.82449494949495
"evelina antonetty playground","evelina antonetty playground",1
"evergreen park","evergreen park",1
"ewen park","ewen park",1
"faber park recreation center","kwame ture recreation center",0.772256728778468
"faber pool and park","faber pool and park",1
"fairview park","fairview park",1
"farm playground","farm playground",1
"federoff triangle","freedom triangle",0.906617647058823
"ferry point park","ferry point park",1
"flatbush and tilden avenues","flatbush mall",0.751187084520418
"flatbush malls","flatbush malls",1
"flushing fields","flushing fields",1
"flushing meadows corona park","flushing meadows corona park",1
"flushing meadows corona park boathouse","flushing meadows corona park",0.912280701754386
"flushing meadows corona park pool & rink","flushing meadows corona park",0.9
"foley square","alben square",0.833333333333333
"fordham landing playground","fordham landing playground",1
"forest grove","forest grove",1
"forest park","forest park",1
"fort greene park","fort greene park",1
"fort hamilton recreation center","metropolitan recreation center",0.868138760880696
"fort independence playground","fort independence playground",1
"fort totten park","fort totten park",1
"fort tryon","fort tryon park",0.888888888888889
"fort tryon park","fort tryon park",1
"fort washington park","fort washington park",1
"forth greene park","fort greene park",0.980392156862745
"four sparrow marsh","four sparrow marsh",1
"francis lewis park","francis lewis park",1
"francis lewis playground","francis lewis playground",1
"frank golden park","frank golden park",1
"frank principe park","frank principe park",1
"franklin d. roosevelt boardwalk and beach","franklin d. roosevelt boardwalk and beach",1
"franz sigel park","franz sigel park",1
"frederick b. judge playground","frederick b. judge playground",1
"frederick douglass playground","frederick douglass playground",1
"frederick johnson playground","frederick johnson playground",1
"fresh creek nature preserve","fresh creek nature preserve",1
"freshkills park","freshkills park",1
"friends field","friends field",1
"frontera park","frontera park",1
"ft tryon park","fort totten park",0.835470085470085
"fulton park","fulton park",1
"garden playground","garden playground",1
"garibaldi playground","garibaldi playground",1
"gateway park","gateway park",1
"gateway triangle","gateway triangle",1
"gemini fields","gemini fields",1
"gen. douglas macarthur park","gen. douglas macarthur park",1
"gene gray playground","gene gray playground",1
"gertrude ederle recreation center","gertrude ederle recreation center",1
"gilbert ramirez park","gilbert ramirez park",1
"givan square","givan square",1
"glenwood playground","glenwood playground",1
"goodhue park","goodhue park",1
"gorman playground","gorman playground",1
