original_park,matched_park,similarity,final_match
cloves lakes park,clove lakes park,0.917892157,clove lakes park
coffey park,coffey park,1,coffey park
colden playground,colden playground,1,colden playground
colgate close,colgate close,1,colgate close
colgate close parks,colgate close,0.894736842,colgate close
collect pond park,collect pond park,1,collect pond park
college point fields,college point fields,1,college point fields
college point park,college point park,1,college point park
colonel charles young playground,courtney callender playground,0.768917625,brigadier general charles young playground
colucci playground,colucci playground,1,colucci playground
columbus circle,columbus square,0.822222222,central park
columbus park,columbus park,1,columbus park
commodore barry park,commodore barry park,1,commodore barry park
concrete plant park,concrete plant park,1,concrete plant park
coney island beach &amp; boardwalk,coney island beach & boardwalk,0.916339869,coney island beach & boardwalk
coney island beach and boardwalk,coney island beach & boardwalk,0.911661877,coney island beach & boardwalk
coney island creek park,coney island creek park,1,coney island creek park
conference house park,conference house park,1,conference house park
cooper park,cooper park,1,cooper park
cooper triangle,cooper triangle,1,cooper triangle
corlears hook park,corlears hook park,1,corlears hook park
court square park,court square park,1,court square park
cpl. thompson park,cpl. thompson park,1,cpl. thompson park
crack is wack playground,crack is wack playground,1,crack is wack playground
crescent beach park,crescent beach park,1,crescent beach park
crocheron park,crocheron park,1,crocheron park
cross street marsh ave & westport street,NA,NA,na
crotona park,crotona park,1,crotona park
crotona parkway malls,crotona parkway malls,1,crotona parkway malls
cunningham park,cunningham park,1,cunningham park
daniel boone playground,daniel boone playground,1,daniel boone playground
dawson playground,dawson playground,1,dawson playground
de matti park,de matti park,1,de matti park
de witt clinton park,de witt clinton park,1,de witt clinton park
decatur playground,decatur playground,1,decatur playground
deere park,deere park,1,deere park
detective keith l williams park,detective keith l williams park,1,detective keith l williams park
devoe park,devoe park,1,devoe park
dongan playground,dongan playground,1,dongan playground
doughboy plaza,doughboy park,0.877289377,doughboy park
dr. ronald mcnair park,dr. ronald mcnair park,1,dr. ronald mcnair park
dubos point wildlife sanctuary,dubos point wildlife sanctuary,1,dubos point wildlife sanctuary
dugan playground,grand playground,0.913888889,gerard p. dugan playground
dunningham triangle,dunningham triangle,1,dunningham triangle
dyker beach park,dyker beach park,1,dyker beach park
east 71st street between avenue v and avenue w,NA,NA,na
east river esplanade,east river esplanade,1,east river esplanade
east river park,east river walk,0.911111111,john v. lindsay east river park
edenwald playground,edenwald playground,1,edenwald playground
ehrenreich-austin playground,ehrenreich-austin playground,1,ehrenreich-austin playground
eibs pond park,eibs pond park,1,eibs pond park
elmhurst park,elmhurst park,1,elmhurst park
emerald playground,emerald playground,1,emerald playground
emt yadira arroyo playground,fdny-emt yadira arroyo playground,0.824494949,fdny-emt yadira arroyo playground
evelina antonetty playground,evelina antonetty playground,1,evelina antonetty playground
evergreen park,evergreen park,1,evergreen park
ewen park,ewen park,1,ewen park
faber park recreation center,kwame ture recreation center,0.772256729,faber pool and park
faber pool and park,faber pool and park,1,faber pool and park
fairview park,fairview park,1,fairview park
farm playground,farm playground,1,farm playground
federoff triangle,freedom triangle,0.906617647,na
ferry point park,ferry point park,1,ferry point park
flatbush and tilden avenues,flatbush mall,0.751187085,na
flatbush malls,flatbush malls,1,flatbush malls
flushing fields,flushing fields,1,flushing fields
flushing meadows corona park,flushing meadows corona park,1,flushing meadows corona park
flushing meadows corona park boathouse,flushing meadows corona park,0.912280702,flushing meadows corona park
flushing meadows corona park pool & rink,flushing meadows corona park,0.9,flushing meadows corona park
foley square,alben square,0.833333333,thomas paine park
fordham landing playground,fordham landing playground,1,fordham landing playground
forest grove,forest grove,1,forest grove
forest park,forest park,1,forest park
fort greene park,fort greene park,1,fort greene park
fort hamilton recreation center,metropolitan recreation center,0.868138761,john j carty park
fort independence playground,fort independence playground,1,fort independence playground
fort totten park,fort totten park,1,fort totten park
fort tryon,fort tryon park,0.888888889,fort tryon park
fort tryon park,fort tryon park,1,fort tryon park
fort washington park,fort washington park,1,fort washington park
forth greene park,fort greene park,0.980392157,fort greene park
four sparrow marsh,four sparrow marsh,1,four sparrow marsh
francis lewis park,francis lewis park,1,francis lewis park
francis lewis playground,francis lewis playground,1,francis lewis playground
frank golden park,frank golden park,1,frank golden park
frank principe park,frank principe park,1,frank principe park
franklin d. roosevelt boardwalk and beach,franklin d. roosevelt boardwalk and beach,1,franklin d. roosevelt boardwalk and beach
franz sigel park,franz sigel park,1,franz sigel park
frederick b. judge playground,frederick b. judge playground,1,frederick b. judge playground
frederick douglass playground,frederick douglass playground,1,frederick douglass playground
frederick johnson playground,frederick johnson playground,1,frederick johnson playground
fresh creek nature preserve,fresh creek nature preserve,1,fresh creek nature preserve
freshkills park,freshkills park,1,freshkills park
friends field,friends field,1,friends field
frontera park,frontera park,1,frontera park
ft tryon park,fort totten park,0.835470085,fort tryon park
fulton park,fulton park,1,fulton park
garden playground,garden playground,1,garden playground
garibaldi playground,garibaldi playground,1,garibaldi playground
gateway park,gateway park,1,gateway park
gateway triangle,gateway triangle,1,gateway triangle
gemini fields,gemini fields,1,gemini fields
gen. douglas macarthur park,gen. douglas macarthur park,1,gen. douglas macarthur park
gene gray playground,gene gray playground,1,gene gray playground
gertrude ederle recreation center,gertrude ederle recreation center,1,gertrude ederle recreation center
gilbert ramirez park,gilbert ramirez park,1,gilbert ramirez park
givan square,givan square,1,givan square
glenwood playground,glenwood playground,1,glenwood playground
goodhue park,goodhue park,1,goodhue park
gorman playground,gorman playground,1,gorman playground
grand army plaza,grand army plaza,1,grand army plaza
grand central parkway extension,grand central parkway extension,1,grand central parkway extension
gravesend park,gravesend park,1,gravesend park
