Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
8/15/18 9:45,8/15/18 9:45,Manhattan,Central Park,W 91st St and Central Park West,Raccoon,Employee,Native,Unhealthy,1.25,Juvenile,Small Mammals-RVS,1-1-1604211980,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38234
8/15/18 9:00,8/15/18 9:10,Manhattan,Central Park,Bow Bridge,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1604211970,ACC,2,FALSE,FALSE,,,FALSE,FALSE,38231
8/14/18 13:00,8/15/18 14:00,Queens,Rockaway Beach and Boardwalk,Beach 41st Street near Shore,Herring Gull,Employee,Native,Injured,1,Juvenile,Birds,1-1-1604132980,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38184
8/15/18 8:30,8/15/18 8:30,Manhattan,Central Park,The Loeb Boathouse,Raccoon,Central,Native,Unhealthy,0.25,Adult,Small Mammals-RVS,1-1-1601746760,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/18 15:00,8/14/18 15:05,Manhattan,Central Park,E 76th and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Infant,Small Mammals-RVS,1-1-1602212590,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38189
8/14/18 10:30,8/14/18 15:30,Bronx,Pelham Bay Park,Landfill,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/18 15:00,8/14/18 15:06,Manhattan,Central Park,Ramble South of Castle,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/14/18 13:45,8/14/18 13:45,Manhattan,Central Park,86St and reservoir,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1601184605,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38182
8/14/18 14:00,8/14/18 14:42,Manhattan,Central Park,Delcorte Theather/81st Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1601533790,ACC,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/18 8:30,8/14/18 10:28,Manhattan,Central Park,Reservoir by Engineer's Gate.,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/14/18 8:45,8/14/18 9:35,Manhattan,Central Park,Conservatory Gardens -Italian gardens under bench by entrance on north side,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184603,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38145
8/14/18 9:50,8/14/18 10:10,Manhattan,Central Park,E 67th street at the Billy Johnson Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1601156521,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38143
8/14/18 13:51,8/14/18 13:51,Manhattan,Central Park,Loeb Boathouse,Raccoon,Employee,Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/14/18 9:30,8/14/18 9:48,Manhattan,Central Park,E 66th back entrance of the children zoo near the underpass by the clock,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1601156521,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38142
8/14/18 11:00,8/14/18 11:15,Manhattan,Central Park,The Ramble Azalea Pond at W 76th St and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.25,Juvenile,Small Mammals-RVS,1-1-1601533661,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38151
8/14/18 10:30,8/14/18 11:00,Manhattan,Central Park,Ladies Pavilion at W 75th St and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.25,Juvenile,Small Mammals-RVS,1-1-1601533660,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38150
8/14/18 8:53,8/14/18 9:12,Manhattan,Central Park,100th Street Pool - SW corner - creek leading into Pool,raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/13/18 16:20,8/13/18 16:50,Manhattan,Central Park,Near lamp post 7230,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1.5,Adult,Small Mammals-RVS,1-1-1602644202,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/13/18 16:40,8/13/18 16:50,Manhattan,Central Park,"East 75th Street, near Loeb Boat House Cafe",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1602644201,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38086
8/13/18 12:00,8/13/18 12:15,Manhattan,Central Park,W 96th & West Dr Tennis Center,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/13/18 10:30,8/13/18 10:30,Manhattan,Central Park,77th & West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Infant,Small Mammals-RVS,1-1-1597899544,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38025
8/13/18 9:30,8/13/18 10:00,Manhattan,Central Park,97th & East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1597899543,ACC,1,FALSE,FALSE,,,FALSE,FALSE,38024
8/12/18 10:00,8/12/18 15:30,Manhattan,Hudson River Park,12th street and West Street,Canada Goose,Employee,Native,Unhealthy,0.5,Adult,Birds,1-1-1603178692,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
8/12/18 11:00,8/12/18 11:30,Manhattan,Central Park,79 Street transverse,Raccoon,Other,Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,TRUE,FALSE,
8/12/18 10:00,8/12/18 12:30,Manhattan,Central Park,"The Ramble, about 73rd St",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1601184302,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37963
8/12/18 11:30,8/12/18 12:15,Manhattan,Central Park,79 Street transverse road,Raccoon,Other,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1603241945,ACC,1,FALSE,FALSE,,,TRUE,FALSE,37962
8/12/18 10:59,8/12/18 11:45,Manhattan,Central Park,Central Park Zoo under the animal clock,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184301,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37961
8/12/18 8:00,8/12/18 11:15,Manhattan,Central Park,"Tennis house, south of 96 st transverse road",Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601561130,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37960
8/11/18 12:00,8/11/18 13:45,Queens,Rockaway Beach and Boardwalk,Beach 128th St and surf,Gull (Unknown),Employee,Native,Injured,3.5,Adult,Birds,1-1-1597899511,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37895
8/11/18 17:00,8/11/18 17:24,Manhattan,Central Park,Gapstow Bridge - 62nd & E. Drive - on the path,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1597899510,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37902
8/10/18 22:05,8/11/18 13:45,Queens,Rockaway Beach and Boardwalk,Beach 119th St and surf,Gull (Unknown),Central,Native,Injured,2,Adult,Birds,1-1-1601537307,Monitored Animal,1,FALSE,TRUE,,0.5,FALSE,FALSE,
8/11/18 15:40,8/11/18 16:13,Manhattan,Central Park,Loeb Boathouse - back deck,raccoon,Other,Native,Unhealthy,1.25,Adult,Small Mammals-RVS,1-1-1602166956,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37888
8/11/18 15:47,8/11/18 15:54,Manhattan,Central Park,Delacorte Theater and Shakespeare's Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/11/18 9:04,8/11/18 13:47,Manhattan,Washington Market Park,"in box for us, inside park house",Mourning Dove,Employee,Native,Injured,2,Juvenile,Birds,1-1-1602166950,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
8/11/18 12:30,8/11/18 12:45,Manhattan,Central Park,On the 97th St Transverse,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/11/18 13:15,8/11/18 14:00,Manhattan,Central Park,Conservatory Gardens at E 106th St and 5th Ave,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1602140060,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37859
8/11/18 15:20,8/11/18 16:12,Queens,Flushing Meadows Corona Park,Boathouse,Raccoon,Employee,Native,Healthy,1,Infant,Small Mammals-RVS,1-1-1597899500,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/11/18 14:52,8/11/18 15:30,Manhattan,Central Park,Bridal Path at East 84th Street. Not far from the South Pump House,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1601184280,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37886
8/11/18 16:10,8/11/18 16:10,Manhattan,Central Park,East 106th 5th Ave Entrance to the Conservatory Gardens,Raccoon,Employee,Native,Healthy,0.5,Adult,Small Mammals-RVS,N/A,Monitored Animal,1,FALSE,TRUE,,0.15,FALSE,FALSE,
8/11/18 11:54,8/11/18 12:10,Manhattan,Central Park,Dana Center / MLK inside the park on the path,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Infant,Small Mammals-non RVS,1-1-1602166960,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
8/11/18 7:00,8/11/18 10:00,Manhattan,Central Park,E. 84th and E. Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/10/18 17:00,8/10/18 17:10,Manhattan,Central Park,Ramble. Nearest cross street is East 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1602140040,ACC,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 20:00,8/10/18 9:00,Manhattan,Central Park,E 106th and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,N/A,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/10/18 14:10,8/10/18 14:10,Manhattan,Central Park,Path not far from Oak Bridge. Nearest cross street West 76th and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1602446919,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37743
8/10/18 9:45,8/10/18 9:50,Manhattan,Central  Park,Ramble not far from the Boathouse. Nearest cross street East 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537253,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37704
8/10/18 9:30,8/10/18 9:30,Manhattan,Central Park,Cherry Hill. Nearest cross street West 72nd CPW,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537251,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37703
8/10/18 9:00,8/10/18 9:10,Manhattan,Central Park,Delecorte Thearter stage. Nearest Cross Street West 81st and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537250,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37702
8/10/18 13:30,8/10/18 13:35,Staten Island,South Beach,On beach near Atlantic Ave.,Gull (Unknown),Employee,Native,Unhealthy,0.25,Juvenile,Birds,1-1-1601746282,ACC,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 22:00,8/10/18 9:45,Brooklyn,Prospect Park,Harmony Playground,Red-tailed Hawk,Employee,Native,N/A,12,Juvenile,Raptors,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/10/18 9:10,8/10/18 9:20,Queens,Fort Totten Park,In front of the pool near Story Rd,Raccoon,Central,Native,Healthy,0.75,Adult;#Juvenile,Small Mammals-RVS,1-1-1602446910,Relocated/Condition Corrected,3,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 16:45,8/9/18 16:56,Manhattan,Central Park,West 105th and CPW Entrance to the park,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601533143,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37653
8/9/18 18:10,8/9/18 18:10,Manhattan,Central Park,The Lake at the Ladies Pavilion (W 75th St and CPW),Raccoon,Central,Native,DOA,0,Adult,Small Mammals-RVS,N/A,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 16:30,8/9/18 16:45,Manhattan,Central Park,Loeb Boathouse E 72nd St and 5th Ave,Raccoon,Other,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 14:30,8/9/18 14:45,Manhattan,Central Park,96St Transverse on the drive/ sidewalk,Raccoon,Public,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1599539412,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37639
8/9/18 9:00,8/9/18 10:40,Manhattan,Central Park,96st Transverse Rd. and Bridlepath fork behind Transverse Rd. fence,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1599116593,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37598
8/9/18 7:30,8/9/18 9:00,Manhattan,Central Park,E 102nd St and East Drive.  South of Compost Hill,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1599116596,ACC,1,FALSE,TRUE,,3.5,TRUE,FALSE,37618
8/9/18 11:50,8/9/18 11:55,Manhattan,Central Park,E96th Bridal Path,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 8:30,8/9/18 9:24,Manhattan,Central Park,E. 90th and East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1599116593,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37609
8/9/18 8:00,8/9/18 10:30,Manhattan,Central Park,W96th st/CPW near the grass area by the edge of the transverse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 8:30,8/9/18 9:50,Manhattan,Central Park,Loeb Boathouse Bathrooms,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/9/18 8:30,8/9/18 10:44,Manhattan,Central Park,West of Cherry Hill Fountain - on trail in Wagner's Cove,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1599116595,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37611
8/9/18 8:30,8/9/18 9:30,Manhattan,Central Park,South of Belvedere Castle,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601946860,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37610
8/9/18 8:30,8/9/18 10:05,Manhattan,Central Park,Ramble - Oven,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Juvenile,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/8/18 13:30,8/8/18 16:00,Manhattan,Central Park,W72nd on Bridal Path,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,N/A,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/8/18 15:30,8/8/18 15:40,Manhattan,Central Park,Delacorte Theater,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,N/A,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/8/18 12:00,8/8/18 14:30,Manhattan,Central Park,East 72nd Eastdrive at the entrance to the Loeb Boathouse parking lot,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-159789210,ACC,1,FALSE,FALSE,,,FALSE,FALSE,1-1-1599539332
8/8/18 8:00,8/8/18 9:30,Manhattan,Central Park,Dead Road. Nearest cross street Central Park West West 67th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-159789210,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37471
8/8/18 11:30,8/8/18 14:00,Manhattan,Central Park,West 85th West Drive near Spector Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1599539331,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37522
8/8/18 12:32,8/8/18 13:30,Manhattan,Central Park,Tennis Courts near Tennis House at East 96th off off the Eastdrive,Raccoon,Employee,Native,DOA,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/6/18 15:30,8/6/18 15:30,Queens,Evergreen Park,,House Sparrow,Central,Native,Injured,3,Juvenile,Birds,1-1-1599116094,ACC,1,FALSE,FALSE,,,FALSE,FALSE,45070
8/8/18 13:33,8/8/18 13:38,Staten Island,Ocean Breeze Track & Field Athletic Complex,Garage of Rec Center,Raccoon,Employee,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/6/18 16:15,8/7/18 15:15,Queens,Baisley Pond Park,Parking Lot,Green Iguana,Employee,Exotic,Healthy,2.5,Adult,Terrestrial Reptile or Amphibian,1-1-1599178290,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/7/18 12:00,8/7/18 13:15,Manhattan,Central Park,59th St Pond at the fence inside the Hallet,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1598976930,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37377
8/7/18 8:00,8/7/18 23:30,Manhattan,Central Park,Just north of the 79th St Yard not far from West 79th and Central Park West entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1598976930,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37364
8/7/18 13:30,8/7/18 15:30,Manhattan,Central Park,West Drive at West 69th Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1600705902,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37395
8/6/18 13:30,8/6/18 13:30,Manhattan,Central Park,ball field cafe north of Hecksher ball fields,raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0.75,Juvenile,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/6/18 12:30,8/6/18 13:00,Manhattan,Central Park,Ramble by Oak bridge,raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Small Mammals-RVS,n/a,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/6/18 15:17,8/6/18 15:20,Manhattan,Central Park,Wollman Rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1599148140,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37294
8/5/18 9:30,8/5/18 11:30,Manhattan,Central Park,100th St and CPW,raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Adult,Small Mammals-RVS,1-1-1597160393,ACC,1,FALSE,FALSE,,,FALSE,FALSE,37171
